"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Manufacturer","MPN","LCSC Part #","Description"
"A1","1","1462360051","","","","Molex","1462360051","C3284867","RFID Antennas RoHS"
"BT1","1","1060TR","","","","","1060TR","C238069","SMD Battery Holders, Clips, Contacts RoHS"
"C1,C2","2","180pF","","","","YAGEO","CC0603JRNPO9BN181","C107041","180pF ±5% 50V Ceramic Capacitor NP0 0603"
"C3,C4","2","15pF","","","","YAGEO","CC0603GRNPO9BN150","C519451","15pF ±2% 50V Ceramic Capacitor NP0 0603"
"C5","1","1nF","","","","Samsung Electro-Mechanics","CL10C102JB8NNNC","C163508","1nF ±5% 50V Ceramic Capacitor C0G 0603"
"C6,C12,C13,C16,C20","5","0.1uF","","","","Samsung Electromechanical","CL10B104KB8NNNC","C1591","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C7,C8","2","70pF","","","","Meritek","MA0603CG700G500","C3851853","70pF C0G ±2% 50V 0603 Ceramic Capacitors RoHS"
"C9,C18,C21","3","22uF","","","","Samsung Electro-Mechanics","CL10A226MP8NUNE","C86295","22uF ±20% 10V Ceramic Capacitor X5R 0603"
"C10,C19,C26","3","1uF","","","","Samsung Electro-Mechanics","CL10A105KB8NNNC","C15849","1uF ±10% 50V Ceramic Capacitor X5R 0603"
"C11,C24","2","4uF7","","","","Samsung Electro-Mechanics","CL10A475KO8NNNC","C19666","4.7uF ±10% 16V Ceramic Capacitor X5R 0603"
"C14,C15","2","30pF","","","","YAGEO","CC0603JRNPO9BN300","C113797","30pF ±5% 50V Ceramic Capacitor NP0 0603"
"C17,C22","2","10uF","","","","Samsung Electro-Mechanics","CL10A106KP8NNNC","C19702","10uF ±10% 10V Ceramic Capacitor X5R 0603"
"C23,C25","2","0uF1","","","","Samsung Electromechanical","CL10B104KB8NNNC","C1591","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"CR1","1","ESDALC6V1W5","","","","ST","ESDALC6V1W5","C703691","6.1VC Clamp TVS DIODE SOT-323-5"
"D3,D4,D6,D7","4","LED_GREEN","","","","ROHM","SML-E12P8WT86","C126319","Green LED Indication - Discrete 2.2V 0603"
"D5","1","USBLC6","","","","ST","USBLC6-2SC6","C7519","ESD DIODE 5.25VWM 17VC SOT-23-6L"
"FID1,FID2,FID3","3","Fiducial","","Excluded from BOM","","","","","Fiducial Marker"
"J1","1","Conn_ARM_SWD_TagConnect_TC2030","","Excluded from BOM","","","","","Tag-Connect ARM Cortex SWD JTAG connector, 6 pin"
"J2","1","USB3080-30-01-A","","","","GCT","USB3080-30-01-A","C6007479","1 -30℃~+85℃ Surface Mount, Right Angle SMD USB, DVI, HDMI Connector Assemblies RoHS"
"L1,L2","2","560nF","","","","muRata","LQW18CNR56J00D","C91630","450mA 560nH 480mΩ Unshielded Inductor ±5% 0603 Fixed Inductors RoHS"
"L3","1","3uH3","","","","TDK","MLF1608A3R3KTA00","C574026","30mA 3.3uH 550mΩ ±10% 0603 Fixed Inductors RoHS"
"MH1,MH2,MH3,MH4","4","M3","","Excluded from BOM","","","","","Mounting Hole with connection"
"R1","1","2k4","","","","YAGEO","RC0603JR-072K4L","C127450","100mW 2.4kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount RoHS"
"R2,R3","2","1R","","","","YAGEO","RC0603JR-071RL","C127987","100mW 1Ω 75V Thick Film Resistor ±5% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS"
"R4,R11,R13","3","1k","","","","YAGEO","RC0603JR-071KL","C14676","Resistor"
"R5,R6,R7,R9,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R28","17","10k","","","","YAGEO","RC0603FR-0710KL","C98220","100mW 10kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R8","1","0R","","","","YAGEO","RC0603JR-070RL ","C105580","RES 0Ω ±5% 100mW 0603"
"R10","1","22k1","","","","YAGEO","RC0603FR-0722K1L","C137768","22.1kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R12","1","47k5","","","","YAGEO","RT0603BRE0747K5L","C705859","100mW 47.5kΩ 75V Thin Film Resistor ±50ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS"
"R14","1","680R","","","","YAGEO","RC0603FR-07680RL","C112310","100mW 680Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R27,R34","2","33R","","","","YAGEO","RC0603FR-0733RL","C108661","100mW 33Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R29,R36","2","330R","","","","YAGEO","RC0603FR-07330RL","C105881","100mW 330Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R30,R35","2","10R","","","","YAGEO","AC0603FR-0710RL","C138286","10Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"R31","1","22R","","","","YAGEO","RC0603FR-0722RL","C107701","22Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS"
"SW1","1","1825232","","","","TE Connectivity","1825232-1","C5167252","Through Hole SPDT 30V Through Hole Slide Switches RoHS"
"SW2","1","PB400EEQX","","","","E-Switch","PB400EEQX","C5240796","Pushbutton Switch DPST Standard Through Hole, Right Angle"
"SW3","1","B3U-1000P","","","","Omron","B3U-1000P","C231329","Tactile Switch SPST 153gf 1.6mm SMD (SMT) Tab 3mm x 2.5mm Surface Mount"
"U1","1","PN5120A0HN1","","","","NXP","PN5120A0HN1/C2,151","C38659","QFN-32-EP(5x5) RFID, RF Access, Monitoring ICs RoHS"
"U2","1","ESP32-WROOM-32E","","","","ESPRESSIF","ESP32-WROOM-32E-N4","C701341","RF Module, ESP32-D0WD-V3 SoC, without PSRAM, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD"
"U3","1","TPS61291","","","","Texas Instruments","TPS61291DRVR","C464809","Boost Adjustable 700mA WSON-6-EP(2x2) Voltage Regulators - DC DC Switching Regulators RoHS"
"U4","1","CP2102N","","","","SILICON LABS","CP2102N-A02-GQFN28R","C964632","USB to UART USB 2.0 QFN-28-EP(5x5) Interface Controllers RoHS"
"U5","1","SN74LVC1G14DBV","","","","Texas Instruments","SN74LVC1G14DBVR","C7835","Schmitt trigger 1.65V~5.5V 6.5ns@2.5V,50pF 10uA 1 1 SOT-23-5 Gates and Inverters RoHS"
"U6","1","TPS2116DRL","","","","Texas Instruments","TPS2116DRLR","C3235557","2 Channnels Power Mux with Manual and Priority Switchover, 1.6-5.5V Input Voltage, 2.5A Output Current, Ron 40 mOhm, SOT-583-8"
"U7","1","BY25Q128","","","","BOYAMICRO","BY25Q128ESSIG(T)","C22471255","2.7V~3.6V 128Mbit 120MHz SPI SOP-8-208mil Memory (ICs) RoHS"
"X1","1","27.12MHz","","","","YXC Crystal Oscillators","XL2EL89CSI-111YLC-27.12M","C5444554","Crystal 27.12MHz ±10ppm 20pF SMD3225-4P"
